Domain,Time,Server,Country,GMT Time,Local Time,Type of Domain
google.com,464.37764167785645,Google,brasil,15062023T22,15062023L19,Popular
google.com,2121.218681335449,Quad9,brasil,15062023T22,15062023L19,Popular
google.com,2.4585723876953125,OpenDNS,brasil,15062023T22,15062023L19,Popular
google.com,128.8473606109619,CloudFlare,brasil,15062023T22,15062023L19,Popular
google.com,91.40276908874512,Comodo DNS,brasil,15062023T22,15062023L19,Popular
youtube.com,136.37471199035645,Google,brasil,15062023T22,15062023L19,Popular
youtube.com,19.346952438354492,Quad9,brasil,15062023T22,15062023L19,Popular
youtube.com,144.8974609375,OpenDNS,brasil,15062023T22,15062023L19,Popular
youtube.com,124.47381019592285,CloudFlare,brasil,15062023T22,15062023L19,Popular
youtube.com,96.22645378112793,Comodo DNS,brasil,15062023T22,15062023L19,Popular
facebook.com,21.260499954223633,Google,brasil,15062023T22,15062023L19,Popular
facebook.com,17.934560775756836,Quad9,brasil,15062023T22,15062023L19,Popular
facebook.com,29.28447723388672,OpenDNS,brasil,15062023T22,15062023L19,Popular
facebook.com,130.3396224975586,CloudFlare,brasil,15062023T22,15062023L19,Popular
facebook.com,35.00986099243164,Comodo DNS,brasil,15062023T22,15062023L19,Popular
a-msedge.net,20.9810733795166,Google,brasil,15062023T22,15062023L19,Popular
a-msedge.net,18.175125122070312,Quad9,brasil,15062023T22,15062023L19,Popular
a-msedge.net,23.337364196777344,OpenDNS,brasil,15062023T22,15062023L19,Popular
a-msedge.net,132.98630714416504,CloudFlare,brasil,15062023T22,15062023L19,Popular
a-msedge.net,35.22610664367676,Comodo DNS,brasil,15062023T22,15062023L19,Popular
microsoft.com,18.01156997680664,Google,brasil,15062023T22,15062023L19,Popular
microsoft.com,18.056869506835938,Quad9,brasil,15062023T22,15062023L19,Popular
microsoft.com,27.76360511779785,OpenDNS,brasil,15062023T22,15062023L19,Popular
microsoft.com,126.12485885620117,CloudFlare,brasil,15062023T22,15062023L19,Popular
microsoft.com,32.35149383544922,Comodo DNS,brasil,15062023T22,15062023L19,Popular
netflix.com,18.65410804748535,Google,brasil,15062023T22,15062023L19,Popular
netflix.com,17.74764060974121,Quad9,brasil,15062023T22,15062023L19,Popular
