domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,5,4,4,112,52,"['142.251.129.142', '142.250.218.174', '142.250.219.174', '142.250.81.238', '142.250.219.206']"
youtube.com,60,4,4,126,54,"['142.251.128.142', '142.250.218.14', '142.251.128.142', '142.250.65.238', '142.251.128.142']"
facebook.com,5,5,5,111,6,"['157.240.12.35', '157.240.12.35', '157.240.12.35', '31.13.67.35', '157.240.12.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,4,6,4,112,4,"['20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.231.239.246', '20.112.250.133', '20.70.246.20', '20.76.201.171', '20.236.44.162', '20.112.250.133', '20.70.246.20', '20.76.201.171', '20.231.239.246', '20.236.44.162', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.231.239.246', '20.236.44.162', '20.70.246.20', '20.76.201.171', '20.112.250.133']"
netflix.com,6,5,3,116,7,"['3.230.129.93', '54.237.226.164', '52.3.144.142', '3.211.157.115', '54.160.93.182', '3.225.92.8', '3.230.129.93', '52.3.144.142', '54.237.226.164', '3.230.129.93', '52.3.144.142', '54.237.226.164', '54.237.226.164', '3.230.129.93', '52.3.144.142']"
epicgames.com,7,10,5,112,8,"['34.205.180.101', '54.89.15.95', '52.22.246.29', '54.87.93.14', '34.192.40.46', '54.226.83.163', '3.223.206.124', '35.169.142.199', '52.71.194.139', '54.221.113.101', '107.23.88.204', '3.210.115.173', '34.192.40.46', '52.2.162.131', '34.193.109.40', '34.203.148.103', '35.169.142.199', '52.71.194.139', '34.192.116.37', '54.210.212.240', '44.215.224.99', '3.211.207.12', '34.205.180.101', '34.206.236.114', '54.226.83.163', '34.225.166.220', '34.203.119.126', '3.232.100.130', '34.205.180.101', '107.23.88.204', '52.71.194.139', '54.87.93.14', '3.224.229.142', '3.224.231.164', '3.232.100.130', '23.20.192.195', '23.20.205.194', '52.71.194.139', '54.235.191.8', '100.25.18.185']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,7,5,4,113,4,"['104.244.42.65', '104.244.42.129', '104.244.42.193', '104.244.42.1', '104.244.42.65', '104.244.42.129', '104.244.42.65', '104.244.42.193', '104.244.42.1', '104.244.42.1', '104.244.42.129', '104.244.42.193', '104.244.42.65', '104.244.42.193']"
instagram.com,6,4,4,112,6,"['157.240.12.174', '31.13.85.174', '31.13.85.174', '157.240.241.174', '157.240.12.174']"
baidu.com,4,5,4,372,4,"['110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66', '39.156.66.10', '110.242.68.66', '39.156.66.10', '110.242.68.66', '110.242.68.66', '39.156.66.10']"
amazonaws.com,4,5,4,112,4,"['72.21.210.29', '72.21.206.80', '207.171.166.22', '72.21.206.80', '72.21.210.29', '207.171.166.22', '72.21.210.29', '207.171.166.22', '72.21.206.80', '72.21.206.80', '207.171.166.22', '72.21.210.29', '207.171.166.22', '72.21.206.80', '72.21.210.29']"
apple.com,5,7,4,113,4,"['17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10']"
linkedin.com,7,5,4,112,6,"['13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14']"
