domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,3,47,5,8,34,"['216.58.215.238', '142.250.203.110', '172.217.168.46', '172.217.18.14', '142.250.203.110']"
youtube.com,15,17,3,2124,22,"['172.217.168.78', '172.217.168.46', '216.58.215.238', '142.250.184.238', '172.217.168.78']"
facebook.com,3,3,2,4315,14,"['157.240.201.35', '157.240.17.35', '157.240.203.35', '157.240.252.35', '157.240.221.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,2,2,3,4336,7,"['20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.70.246.20', '20.236.44.162', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.112.250.133', '20.231.239.246', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.231.239.246', '20.236.44.162', '20.70.246.20', '20.76.201.171', '20.112.250.133']"
netflix.com,9,4,4,13,23,"['54.170.196.176', '54.246.79.9', '52.214.181.141', '54.73.148.110', '54.155.246.232', '18.200.8.190', '54.155.246.232', '18.200.8.190', '54.73.148.110', '18.200.8.190', '54.73.148.110', '54.155.246.232', '54.155.178.5', '3.251.50.149', '54.74.73.31']"
epicgames.com,2,5,2,16,6,"['3.224.229.142', '3.210.115.173', '107.23.88.204', '34.206.236.114', '34.203.119.126', '3.208.225.137', '3.86.126.224', '174.129.246.223', '34.203.148.103', '23.20.205.194', '3.224.229.142', '54.87.93.14', '34.205.180.101', '34.225.166.220', '34.192.116.37', '52.71.194.139', '34.192.40.46', '3.86.126.224', '54.87.93.14', '18.210.160.48', '18.210.41.252', '3.208.225.137', '23.20.192.195', '52.71.194.139', '52.22.246.29', '54.157.155.117', '3.224.229.142', '54.210.212.240', '3.86.126.224', '34.206.236.114', '3.230.29.161', '35.169.142.199', '3.232.100.130', '34.192.40.46', '34.193.109.40', '34.225.166.220', '52.4.18.127', '54.87.93.14', '54.226.212.47', '100.25.18.185']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,10,8,2,12,6,"['104.244.42.65', '104.244.42.193', '104.244.42.129', '104.244.42.1', '104.244.42.1', '104.244.42.65', '104.244.42.1', '104.244.42.65', '104.244.42.129', '104.244.42.193', '104.244.42.1']"
